Link,Quality,Reason,Checked
https://x.com/ApostleJohnW/status/1909194913708699818,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909194913708699818#filler1,Undefined,No article found,false
https://x.com/BreannaMorello/status/1909185985595813937,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909194650549727253,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909194650549727253#filler1,Undefined,No article found,false
https://x.com/Farming_SA/status/1902619261224288404,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909192070520045952,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909192070520045952#filler1,Undefined,No article found,false
https://x.com/ChuckSteeleSr/status/1909143192903323739,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909189714776650062,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909189714776650062#filler1,Undefined,No article found,false
https://x.com/1MaidenAmerica/status/1908982180115824748,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909134252517540276,Good,Looks good,false
https://x.com/WallStreetMav/status/1909120452502438021,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909132592399409439,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909132592399409439#filler1,Undefined,No article found,false
https://x.com/karatademada/status/1909114317036834917,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909131805384454592,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909131805384454592#filler1,Undefined,No article found,false
https://x.com/KSJ_Kreative/status/1909119241145491964,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909130898840154356,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909130898840154356#filler1,Undefined,No article found,false
https://x.com/NoContextHumans/status/1909117995252605212,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128459521077634,Good,Looks good,false
https://x.com/gunsnrosesgirl3/status/1909118520958333060,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128240809058544,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128240809058544#filler1,Undefined,No article found,false
https://x.com/AMAZlNGNATURE/status/1909118974803034434,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128007161160167,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128007161160167#filler1,Undefined,No article found,false
https://x.com/unusual_whales/status/1909055403515678970,Good,Looks good,false
https://x.com/unusual_whales/status/1909123220906930659,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909127882749726970,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909128459521077634#filler1,Undefined,No article found,false
https://x.com/WallStreetMav/status/1909051823001915676,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909054541439377524,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909054541439377524#filler1,Undefined,No article found,false
https://x.com/BasedMikeLee/status/1909052026593677639,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909054236224020750,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909054236224020750#filler1,Undefined,No article found,false
https://x.com/notyouneek/status/1909025659017711947,Good,Looks good,false
https://x.com/notyouneek/status/1909025659017711947#filler1,Undefined,No article found,false
https://x.com/notyouneek/status/1909047456282902959,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909050010362077296,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909049661517689084,Good,Looks good,false
https://x.com/amuse/status/1909044060376948971,Good,Looks good,false
https://x.com/amuse/status/1909044060376948971#filler1,Undefined,No article found,false
https://x.com/amuse/status/1909045508548571285,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909047308215279940,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909047308215279940#filler1,Undefined,No article found,false
https://x.com/imUrB00gieman/status/1909044994201329668,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909045905526845839,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909045905526845839#filler1,Undefined,No article found,false
https://x.com/MaryTilesTexas/status/1908945393829716074,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909044890706604121,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909044890706604121#filler1,Undefined,No article found,false
https://x.com/TRHLofficial/status/1909031717622731047,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909043907024798145,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909043907024798145#filler1,Undefined,No article found,false
https://x.com/TansuYegen/status/1908771901163331953,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909043335446106215,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909043335446106215#filler1,Undefined,No article found,false
https://x.com/TansuYegen/status/1908347673268101236,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909040982143775125,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909040982143775125#filler1,Undefined,No article found,false
https://x.com/WarClandestine/status/1909010166286328081,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909039552812957721,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909039552812957721#filler1,Undefined,No article found,false
https://x.com/Moonlighhy/status/1908906897790677193,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909037632752877926,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909037632752877926#filler1,Undefined,No article found,false
https://x.com/Sassafrass_84/status/1909028168633033195,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909037296575209763,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909017272854736905,Good,Looks good,false
https://x.com/OwenGregorian/status/1908996154110378308,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909014148232380918,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909014148232380918#filler1,Undefined,No article found,false
https://x.com/TheShawnHendrix/status/1908995393653735717,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909011877369159957,Good,Looks good,false
https://x.com/ApostleJohnW/status/1909011877369159957#filler1,Undefined,No article found,false
https://x.com/TB1Kinobe/status/1908958751631044824,Good,Looks good,false
https://x.com/TB1Kinobe/status/1908990114329747800,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908999913926512862,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908999913926512862#filler1,Undefined,No article found,false
https://x.com/monetization_x/status/1908935764299166170,Good,Looks good,false
https://x.com/monetization_x/status/1908935764299166170#filler1,Undefined,No article found,false
https://x.com/monetization_x/status/1908985624302145975,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908988230680338697,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908988230680338697#filler1,Undefined,No article found,false
https://x.com/monetization_x/status/1908912835075375481,Good,Looks good,false
https://x.com/notyouneek/status/1908919362674921721,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908930898151498016,Good,Looks good,false
https://x.com/buymeacoffee/status/1908883746297684222,Good,Looks good,false
https://x.com/buymeacoffee/status/1908883746297684222#filler1,Undefined,No article found,false
https://x.com/GreenManReports/status/1908917319813706185,Good,Looks good,false
https://x.com/GreenManReports/status/1908917319813706185#filler1,Undefined,No article found,false
https://x.com/GreenManReports/status/1908921941987041360,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908926685958828434,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908923566982045777,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908923566982045777#filler1,Undefined,No article found,false
https://x.com/sweetjim13/status/1908913041816559696,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908920004524863666,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908905132978225408,Good,Looks good,false
https://x.com/a4DLife/status/1908905805510062347,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908916774130823336,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908913136066797717,Good,Looks good,false
https://x.com/lippyent/status/1908890467422331031,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908891368732164580,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908891368732164580#filler1,Undefined,No article found,false
https://x.com/KSJ_Kreative/status/1908890487898923259,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908891112007139366,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908891112007139366#filler1,Undefined,No article found,false
https://x.com/lippyent/status/1908890497864581421,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908890909183263184,Good,Looks good,false
https://x.com/TansuYegen/status/1908866105881296903,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889585196675367,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889585196675367#filler1,Undefined,No article found,false
https://x.com/TansuYegen/status/1908828526683250709,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889289686917152,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889289686917152#filler1,Undefined,No article found,false
https://x.com/awkwardgoogle/status/1908868543506186455,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889115153650035,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908889115153650035#filler1,Undefined,No article found,false
https://x.com/Yoda4ever/status/1908869857522942165,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908888930939724139,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908888930939724139#filler1,Undefined,No article found,false
https://x.com/unusual_whales/status/1908884189618782346,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908888399173341369,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908888399173341369#filler1,Undefined,No article found,false
https://x.com/unusual_whales/status/1908886610671759400,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908888313559171504,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908887127523270998,Good,Looks good,false
https://x.com/awkwardgoogle/status/1908868543506186455#filler1,Undefined,No article found,false
https://x.com/TheFive/status/1908504896720257282,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908884553260843154,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908884553260843154#filler1,Undefined,No article found,false
https://x.com/MarchUnofficial/status/1908874478505062586,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908884115773882713,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908884115773882713#filler1,Undefined,No article found,false
https://x.com/lippyent/status/1908876042636292399,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908883839134674946,Good,Looks good,false
https://x.com/BreannaMorello/status/1908882389906157850,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908883606862250160,Good,Looks good,false
https://x.com/elonmusk/status/1908753460142698783,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908882761928016185,Good,Looks good,false
https://x.com/unclebobmartin/status/1908879740691239353,Good,Looks good,false
https://x.com/sneakin/status/1908880435913867585,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908881896567689523,Good,Looks good,false
https://x.com/TheShawnHendrix/status/1908879202146791508,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908879944349802766,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908879944349802766#filler1,Undefined,No article found,false
https://x.com/plchristian/status/1908875680852681061,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876989282288050,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876989282288050#filler1,Undefined,No article found,false
https://x.com/Yolo304741/status/1908873107839811859,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876353484529868,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876353484529868#filler1,Undefined,No article found,false
https://x.com/monetization_x/status/1908875715765756358,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876003973214690,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908876003973214690#filler1,Undefined,No article found,false
https://x.com/SaltyDGalveston/status/1908859226065088851,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875495111803179,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875495111803179#filler1,Undefined,No article found,false
https://x.com/BreannaMorello/status/1908860160086245768,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875309169926150,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875309169926150#filler1,Undefined,No article found,false
https://x.com/earthcurated/status/1908863876961050898,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875143020945730,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908875143020945730#filler1,Undefined,No article found,false
https://x.com/BreannaMorello/status/1908874081266520310,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908874679151902949,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908874679151902949#filler1,Undefined,No article found,false
https://x.com/SharonCutl55137/status/1908856109856674251,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908859138358104151,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908859138358104151#filler1,Undefined,No article found,false
https://x.com/TheFigen_/status/1908857622817546341,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908858736715702328,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908858736715702328#filler1,Undefined,No article found,false
https://x.com/LangmanVince/status/1908695470467068128,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908854270872478124,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908854270872478124#filler1,Undefined,No article found,false
https://x.com/TeslaTakesOver/status/1908845156549132420,Good,Looks good,false
https://x.com/TeslaTakesOver/status/1908845156549132420#filler1,Undefined,No article found,false
https://x.com/TeslaTakesOver/status/1908852991672676540,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908853846933184641,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908853846933184641#filler1,Undefined,No article found,false
https://x.com/catturd2/status/1908682730516209822,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908853712874852388,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908853712874852388#filler1,Undefined,No article found,false
https://x.com/awkwardgoogle/status/1908679799645888655,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908682393847841177,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908682393847841177#filler1,Undefined,No article found,false
https://x.com/Vincent_Ledvina/status/1908621479379603544,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681786751676818,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681786751676818#filler1,Undefined,No article found,false
https://x.com/AMAZlNGNATURE/status/1908557810050146753,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681571298660569,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681571298660569#filler1,Undefined,No article found,false
https://x.com/Yoda4ever/status/1908637981704855976,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681370768986458,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908681370768986458#filler1,Undefined,No article found,false
https://x.com/Sassafrass_84/status/1908670699608432981,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908679299172819392,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908679299172819392#filler1,Undefined,No article found,false
https://x.com/AMAZlNGNATURE/status/1908677907670524008,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908678728877551952,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908678728877551952#filler1,Undefined,No article found,false
https://x.com/KSJ_Kreative/status/1908669816887451761,Good,Looks good,false
https://x.com/KSJ_Kreative/status/1908677944874050034,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908678179910189204,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908678179910189204#filler1,Undefined,No article found,false
https://x.com/MaryTilesTexas/status/1908669491183022120,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908672833326055843,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908672833326055843#filler1,Undefined,No article found,false
https://x.com/ThePatriotOasis/status/1908638967475691891,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908668371572252826,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908668371572252826#filler1,Undefined,No article found,false
https://x.com/ApostleJohnW/status/1908653904528626137,Good,Looks good,false
https://x.com/DrMafuzur/status/1908666669754671432,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908667919002751145,Good,Looks good,false
https://x.com/amuse/status/1908594589411274908,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908664843827134626,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908664843827134626#filler1,Undefined,No article found,false
https://x.com/LauraLoomer/status/1908658732202099196,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908661263455953333,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908661263455953333#filler1,Undefined,No article found,false
https://x.com/EpicClipVault/status/1908659710187762012,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908660373265236332,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908653928205410585,Good,Found: 'Replying to <a>@ApostleJohnW</a> and <a>@X_DeepThought</a>' at a depth of 6,true
https://x.com/ApostleJohnW/status/1908631861707862141,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908631861707862141#filler1,Undefined,No article found,false
https://x.com/lippyent/status/1908607766240911502,Good,Looks good,false
https://x.com/lippyent/status/1908607766240911502#filler1,Undefined,No article found,false
https://x.com/DaleTSnyder1/status/1908625275786494420,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908627378961866975,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908627378961866975#filler1,Undefined,No article found,false
https://x.com/awkwardgoogle/status/1908613299152810354,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908626888206983238,Good,Looks good,false
https://x.com/ApostleJohnW/status/1908626888206983238#filler1,Undefined,No article found,false
https://x.com/atensnut/status/1908613305079312742,Good,Looks good,false
